Epoch,Train Loss,Test Loss
0,-1.3160758778266608,-2.2952479124069214
1,-2.3016389298439024,-2.81128249168396
2,-2.6584966254234312,-3.0502769231796263
3,-2.67405411362648,-3.1199983596801757
4,-2.7936510634422302,-2.9387064456939695
5,-3.0053967100381853,-3.323526692390442
6,-2.739993680715561,-3.3987957239151
7,-3.4475011825561523,-3.5383172035217285
8,-3.4321050745248796,-3.6685258626937864
9,-2.360255962610245,-2.970728039741516
10,-3.2842157220840456,-3.510423421859741
11,-3.6583547401428222,-3.8773422241210938
12,-3.1466682928800584,-3.8372946262359617
13,-3.5534745240211487,-3.6745805501937867
14,-3.8348347520828248,-4.0477711200714115
15,-3.165871949195862,-2.748480796813965
16,-3.5853865242004392,-3.996292567253113
17,-3.741831432580948,-3.522194242477417
18,-3.919184532761574,-3.4486967802047728
19,-4.03188622713089,-4.424088311195374
20,-3.652575888633728,-3.41962616443634
21,-3.8042774215340613,-3.989204239845276
22,-3.819418089389801,-4.230228233337402
23,-4.111667093038559,-4.0814845085144045
24,-3.2932126349955797,-3.4200695991516112
25,-3.9801110863685607,-3.6750862836837768
26,-4.334398491382599,-2.4895861029624937
27,-3.8208746945858003,-3.9341169118881227
28,-4.292532684803009,-4.367791557312012
29,-4.345251333713532,-4.711115837097168
30,-4.115746934264898,-4.388748121261597
31,-3.5848171317577364,-3.092916464805603
32,-3.6178521233424545,-3.779532551765442
33,-4.129177193641663,-4.553005027770996
34,-4.329310299158096,-3.9566282749176027
35,-4.349325461387634,-4.670137071609497
36,-4.683773999214172,-4.82660813331604
37,-3.745950559079647,-3.0457189798355104
38,-3.8572337555885317,-4.354999160766601
39,-4.2127702911198135,-3.343170690536499
40,-4.230909993648529,-4.5443010330200195
41,-4.658671524524689,-4.789735603332519
42,-3.9529249477386474,-3.4690174579620363
43,-4.14682956457138,-4.648312997817993
44,-4.425812404155732,-4.5607515335083
45,-4.404531069397926,-4.820403051376343
46,-4.644805804491043,-4.440190219879151
47,-4.299273719936609,-4.24898772239685
48,-4.746424264907837,-4.955225467681885
49,-4.863403930664062,-4.922220277786255
50,-4.478911286965013,-4.321305871009827
51,-4.773556456565857,-4.775706958770752
52,-4.825554461479187,-4.622730731964111
53,-4.209138344526291,-4.369342565536499
54,-4.643809338212013,-4.730229425430298
55,-4.912311472892761,-4.772627210617065
56,-4.980605971813202,-4.431414985656739
57,-4.684195857644081,-4.93153486251831
58,-4.665436597466469,-4.999768304824829
59,-5.018153729438782,-5.110471725463867
60,-4.856387411355972,-4.656447219848633
61,-4.722341286540032,-4.949869871139526
62,-3.9503192786872385,-4.279677438735962
63,-4.577204849720001,-2.9489113092422485
64,-4.318480822741986,-4.7596007823944095
65,-4.787301766872406,-4.9935631275177
66,-3.820487073659897,-4.20411102771759
67,-4.643689974546432,-4.214543175697327
68,-4.652493722140789,-4.496566677093506
69,-5.043233766555786,-5.076492834091186
70,-5.13648639202118,-1.332705338858068
71,-4.188005331754685,-5.136634397506714
72,-4.564318464621902,-4.428615713119507
73,-5.050270090103149,-4.975114345550537
74,-5.031639442443848,-5.22653341293335
75,-5.176961715221405,-5.288958501815796
76,-4.991810747385025,-1.5770087122917176
77,-4.753950289487839,-5.315825748443603
78,-4.070507618188858,-5.014588356018066
79,-4.867931592464447,-5.246949625015259
80,-5.232602133750915,-5.032707786560058
81,-4.8511098349094395,-5.07453465461731
82,-4.33564555644989,-5.074945163726807
83,-5.239558415412903,-5.317599058151245
84,-4.744602156877518,-5.299500417709351
85,-5.321972832679749,-5.325289630889893
86,-5.12187381029129,-5.083635091781616
87,-5.264291841983795,-5.433002471923828
88,-4.9980883538722995,-5.030572032928466
89,-5.122579699754715,-5.272911930084229
90,-4.790097331702709,-5.386344528198242
91,-5.083926025629044,-4.904303169250488
92,-4.96661381483078,-5.013150405883789
93,-5.17649965763092,-5.321302700042724
94,-5.397085580825806,-5.439296293258667
95,-5.1011542737483975,-4.258239817619324
96,-5.2904092526435855,-5.120739412307739
97,-5.226649861335755,-5.413998222351074
98,-5.084826914072036,-5.445999431610107
99,-5.147747597694397,-5.214373207092285
100,-5.441670441627503,-5.22754168510437
101,-5.425852551460266,-5.227202701568603
102,-4.806554703712464,-5.180969285964966
103,-4.329642134159803,-5.148428106307984
104,-4.857563465237617,-4.801742935180664
105,-5.2883520555496215,-5.166874694824219
106,-5.454036107063294,-5.224152851104736
107,-5.104271743297577,-5.31279354095459
108,-5.434182724952698,-5.432534217834473
109,-5.516322364807129,-4.670326042175293
110,-5.266000039577484,-5.453622055053711
111,-4.93138463575393,-5.520838403701783
112,-5.427783906459808,-1.4919381737709045
113,-5.039335768222809,-5.027372694015503
114,-5.337325868606567,-5.447489976882935
115,-5.461980319023132,-4.9243385791778564
116,-4.809954280555249,-4.431541299819946
117,-5.108629608154297,-5.105389976501465
118,-5.248624428510666,-5.377241086959839
119,-5.571548509597778,-5.4759604930877686
120,-5.463830950260163,-5.250636386871338
121,-5.463585321903229,-5.637561321258545
122,-4.899201828837395,-3.049972152709961
123,-5.184754655361176,-5.26118803024292
124,-5.480960781574249,-5.555541276931763
125,-5.617111582756042,-5.2050666332244875
126,-5.460953493118286,-5.495683240890503
127,-5.557617230415344,-5.361373043060302
128,-5.436468522548676,-5.460766553878784
129,-5.596363427639008,-5.556186294555664
130,-5.682617802619934,-5.634982681274414
131,-5.366476956605911,-5.631560897827148
132,-5.356213418245315,-5.523200988769531
133,-5.687073845863342,-3.970120573043823
134,-5.583012471199035,-5.689007997512817
135,-5.56367472410202,-5.684628963470459
136,-5.298020161390305,-5.458582496643066
137,-5.667737195491791,-5.495933103561401
138,-5.531558645963669,-5.675329351425171
139,-5.602906314134597,-4.910083055496216
140,-5.742047729492188,-5.569217109680176
141,-5.673065495491028,-5.707302188873291
142,-5.723439381122589,-5.446839284896851
143,-5.773801732063293,-5.688679981231689
144,-5.724024233818054,-5.439012622833252
145,-5.415057030916214,-5.572342729568481
146,-5.551553089618682,-4.900242853164673
147,-5.774848718643188,-5.734189462661743
148,-5.67409649848938,-4.971374988555908
