Epoch,Train Loss,Test Loss
0,0.8489228989928961,0.690976744890213
1,0.6391601152718067,0.5518276333808899
2,0.5403395472094417,0.5626103103160858
3,0.4873982584103942,0.47881220281124115
4,0.460495394654572,0.41696072518825533
5,0.4237731946632266,0.3727446347475052
6,0.4065788295120001,0.3251031458377838
7,0.30855723982676864,0.28583417534828187
8,0.2979557444341481,0.36319307386875155
9,0.3161872513592243,0.2772099867463112
10,0.24986512307077646,0.1945853665471077
11,0.30249917367473245,0.2161361515522003
12,0.23142328206449747,0.20150685757398606
13,0.2275265771895647,0.2775439456105232
14,0.23641030956059694,0.21253252029418945
15,0.22638490004464984,0.2533840790390968
16,0.20584136759862304,0.2093939632177353
17,0.22359123826026917,0.22636289596557618
18,0.1573012638837099,0.16027368307113649
19,0.18750974698923528,0.17691723704338075
20,0.15194273833185434,0.12312127947807312
21,0.12807594775222242,0.14563405886292458
22,0.15412017609924078,0.23709430545568466
23,0.23078562412410975,0.19431355744600295
24,0.17101690522395074,0.12075029835104942
25,0.1439177831634879,0.22560259103775024
26,0.1744731708895415,0.11598480939865112
27,0.17468722630292177,0.2362651437520981
28,0.2729568243958056,0.2021383211016655
29,0.14004369545727968,0.18470380902290345
30,0.13436211831867695,0.1186704196035862
31,0.11248044366948307,0.1438165344297886
32,0.13549981266260147,0.1900625631213188
33,0.14414231828413904,0.14798233583569526
34,0.14587458060123026,0.20484704077243804
35,0.13361318199895322,0.15570468753576278
36,0.1266420294996351,0.1263200782239437
37,0.1417815003078431,0.1988677978515625
38,0.13649969408288598,0.14298170655965806
39,0.13297888217493892,0.14141000509262086
40,0.12712747743353248,0.09733978658914566
41,0.09384468337520957,0.10212582871317863
42,0.1346489603165537,0.140965785831213
43,0.11144436406902969,0.1123067319393158
44,0.11287190322764218,0.09261735007166863
45,0.10490218317136168,0.21548313051462173
46,0.1308561572805047,0.10515842586755753
47,0.19844896788708866,0.18428588509559632
48,0.14832417317666113,0.1128688707947731
49,0.10534042026847601,0.12480655983090401
50,0.11778524168767035,0.10287966579198837
51,0.08280989550985396,0.21540303975343705
52,0.14281379198655486,0.11273467764258385
53,0.08919292816426605,0.0817341074347496
54,0.10303462482988834,0.16079059168696402
55,0.10003341571427882,0.08417125940322875
56,0.09935586573556066,0.16580217853188514
57,0.10975397494621575,0.13410116508603095
58,0.1040109870955348,0.09712406247854233
59,0.09690156043507159,0.09946101978421211
60,0.09469731128774583,0.11831131279468536
61,0.10658145463094115,0.20900985449552537
62,0.13059025793336332,0.1063007578253746
63,0.10682497941888869,0.09590869620442391
64,0.10913084587082267,0.12735314145684243
65,0.13355124555528164,0.11184608861804009
66,0.09835017123259604,0.1050124041736126
67,0.08297438803128898,0.07978784032166004
68,0.1244774628430605,0.1070497177541256
69,0.08072944986633956,0.09031825736165047
70,0.10329194576479495,0.14791204184293746
71,0.10902096424251795,0.18623318523168564
72,0.13148685195483267,0.18741854876279831
73,0.09807224746327847,0.07692954465746879
74,0.0737272888654843,0.08600574508309364
75,0.0903213731944561,0.0891299843788147
76,0.09361563343554735,0.08836104199290276
77,0.1274125634226948,0.14007689878344537
78,0.117104152450338,0.08580278307199478
79,0.07865243894048035,0.0911662720143795
80,0.09771241166163236,0.09143431782722473
81,0.10737389093264937,0.08112150169909
82,0.08534897118806839,0.1426856905221939
83,0.11747930524870753,0.12373227626085281
84,0.10269991843961179,0.11026855334639549
85,0.10735595063306391,0.10909509733319282
86,0.09183675004169345,0.07931923344731331
87,0.06959903868846595,0.0822488658130169
88,0.11338280362542719,0.15327539294958115
89,0.1262277872301638,0.1670493245124817
90,0.10884037893265486,0.09701845943927764
91,0.10525191412307322,0.0846569836139679
92,0.07353018666617572,0.1262219563126564
93,0.09712404990568757,0.07599702440202236
94,0.1359640141017735,0.15111333206295968
95,0.12882159696891904,0.09835429266095161
96,0.11452562548220158,0.12739693075418473
97,0.11493842769414186,0.1379125878214836
98,0.12135850242339075,0.09544276371598244
99,0.09110625076573342,0.09025928825139999
100,0.0671167328255251,0.06756069399416446
101,0.05226423486601561,0.06953652650117874
102,0.05327003786806017,0.06998620517551898
103,0.05891206650994718,0.06686209253966809
104,0.05040265549905598,0.06254482492804528
105,0.057905304711312056,0.06911819465458394
106,0.058929588412865996,0.07691702619194984
107,0.05440973804797977,0.06751163825392723
108,0.06111111445352435,0.06869917772710324
109,0.06452787003945559,0.08915561363101006
110,0.06307216361165047,0.06355185993015766
111,0.0653877267614007,0.09829702079296113
112,0.06298464024439454,0.06854872368276119
113,0.052325937314890325,0.06204207912087441
114,0.057266977382823825,0.0811125598847866
115,0.06285411270800978,0.06537154279649257
116,0.04993570386432111,0.07666644230484962
117,0.05590530298650265,0.07138144187629222
118,0.06385020329616964,0.06943237856030464
119,0.0608706857310608,0.07677409052848816
120,0.054916310706175864,0.07460057437419891
121,0.06476719141937792,0.08416456431150436
122,0.05995649262331426,0.06113799996674061
123,0.05400918854866177,0.08205087408423424
124,0.0608753408305347,0.08303135856986046
125,0.07698111364152282,0.06779693253338337
126,0.055819019791670144,0.06070250310003757
127,0.05840964335948229,0.13809437230229377
128,0.10109109769109637,0.0651489656418562
129,0.056349445367231965,0.06895028278231621
130,0.05577593029011041,0.07944581508636475
131,0.09086703381035477,0.1757206454873085
132,0.1544785617152229,0.083169724047184
133,0.06167675892356783,0.06726919524371625
134,0.053765598800964653,0.09989874437451363
135,0.07881004887167364,0.09169433265924454
136,0.08813358854968101,0.08441037014126777
137,0.05684111814480275,0.06353576593101025
138,0.06271972542162985,0.07853620834648609
139,0.07689094787929207,0.08205770067870617
140,0.061412386945448816,0.06165559515357018
141,0.05547193670645356,0.06883191540837288
142,0.058219058089889586,0.17886705845594406
143,0.14488942618481815,0.12124996855854989
144,0.07373194606043398,0.06200120113790035
145,0.05351176904514432,0.06220056973397732
146,0.058022848912514746,0.11118504554033279
147,0.07305770227685571,0.07876980416476727
148,0.0583103948738426,0.08045057356357574
149,0.054499023826792836,0.060024362057447433
150,0.05345724639482796,0.094731155782938
151,0.059419269207865,0.07434761486947536
152,0.057480517658405006,0.07807732261717319
153,0.05060481152031571,0.057013238966465
154,0.060149254044517875,0.07815876491367817
155,0.06601061637047678,0.1457314074039459
156,0.08104277693200856,0.061464637890458106
157,0.0521354511147365,0.05803743377327919
158,0.045074364985339344,0.06552320718765259
159,0.06341078085824847,0.06547891572117806
160,0.05372516135685146,0.06073579490184784
161,0.05467722343746573,0.05999865233898163
162,0.05102935899049044,0.06134121231734753
163,0.06486556318122894,0.0677421722561121
164,0.06295547634363174,0.08538744747638702
165,0.07096603268291801,0.06621104069054126
166,0.06518747564405203,0.05748722478747368
167,0.06549080600962043,0.06354023292660713
168,0.06770300306379795,0.07521563172340393
169,0.05739790666848421,0.08340075984597206
170,0.05187910806853324,0.06266453377902508
171,0.053805407718755305,0.11287343725562096
172,0.06400853267405182,0.0583428330719471
173,0.05163359362632036,0.0590717438608408
174,0.070231240009889,0.1206256940960884
175,0.07007669971790165,0.06386051736772061
176,0.07347076328005642,0.11299877166748047
177,0.07247071445453912,0.06055135428905487
178,0.051520674489438534,0.07446146458387375
179,0.08260144456289709,0.07979970946907997
180,0.06114733498543501,0.05966256372630596
181,0.04936311556957662,0.06074649468064308
182,0.061093114665709436,0.07091456651687622
183,0.07084079273045063,0.059832559898495674
184,0.07481071911752224,0.08586711287498475
185,0.05887264141347259,0.10831863582134246
186,0.08456947014201432,0.08322857767343521
187,0.05612679524347186,0.06371668055653572
188,0.054517603013664484,0.05921094194054603
189,0.06000724481418729,0.15954280123114586
190,0.07106014422606677,0.0591136485338211
191,0.05498880578670651,0.08726834878325462
192,0.07732674339786172,0.11421723663806915
193,0.07909253204707056,0.08784904479980468
194,0.0529071029741317,0.06419736966490745
195,0.07253230514470488,0.07063072882592678
196,0.05335367354564369,0.05696527473628521
197,0.06836353975813836,0.07303600609302521
198,0.06027991254813969,0.09568516910076141
199,0.06301547191105783,0.06973453611135483
200,0.045996053959243,0.054504039511084554
201,0.038548517622984946,0.06120351888239384
202,0.03714887396199629,0.05248379111289978
203,0.0359734024386853,0.0509677354246378
204,0.035969624179415405,0.05089982151985169
205,0.036338028439786285,0.05410948023200035
206,0.03824623953551054,0.05255961008369923
207,0.03812396863941103,0.05136947408318519
208,0.033824808546341956,0.05026144795119762
209,0.04070958273950964,0.05834696106612682
210,0.039318958297371864,0.06722499132156372
211,0.03893898596288636,0.05509934388101101
212,0.03585667349398136,0.05237540192902088
213,0.04377778386697173,0.05262829661369324
214,0.03809939662460238,0.051553525030612946
215,0.051931568421423435,0.057451508566737176
216,0.04200777062214911,0.057687532529234885
217,0.04726677801227197,0.07867897041141987
218,0.0539294223417528,0.057348786666989324
219,0.03946160100167617,0.05159745123237371
220,0.035317055764608085,0.05033075027167797
221,0.03601110179442912,0.049782862141728404
222,0.03539053816348314,0.04978418760001659
223,0.0356063810759224,0.053040416538715364
224,0.03676330141024664,0.04952307865023613
225,0.04088760312879458,0.05173689238727093
226,0.03669258567970246,0.05370363667607307
227,0.05336178606376052,0.05645924918353558
228,0.043585337698459625,0.04956406876444817
229,0.03857028333004564,0.05233268365263939
230,0.036463367054238915,0.05534797310829163
231,0.03912888705963269,0.05098374783992767
232,0.03986322710989043,0.050182584673166275
233,0.0331785831367597,0.052465562522411344
234,0.0486993343802169,0.05341208316385746
235,0.04602763208094984,0.054548151791095734
236,0.0359043104108423,0.06856573335826396
237,0.04770171386189759,0.049791176617145536
238,0.03844194900011644,0.051850422471761706
239,0.04000609542708844,0.051488389074802396
240,0.042400490026921034,0.05526572838425636
241,0.03858494642190635,0.049618424475193025
242,0.04293860786128789,0.0692299984395504
243,0.05346743913833052,0.06314691454172135
244,0.036980821867473423,0.04911927729845047
245,0.03668233734788373,0.05743776448071003
246,0.03972764330683276,0.05279915183782578
247,0.03730125434231013,0.05001799575984478
248,0.03441563691012561,0.04970589093863964
249,0.03588717518141493,0.05097637176513672
250,0.03585299290716648,0.05007023066282272
251,0.041131261677946895,0.05808853171765804
252,0.03966259362641722,0.05222260504961014
253,0.03941615630174056,0.060359114035964015
254,0.03798920492408797,0.049612462893128394
255,0.03158459672704339,0.048923222720623015
256,0.043003609869629145,0.0644157238304615
257,0.04202198825078085,0.051019464060664176
258,0.041583654936403036,0.05118766464293003
259,0.03716656321194023,0.0723573874682188
260,0.04456904355902225,0.05107413828372955
261,0.04689372517168522,0.052587397024035455
262,0.039067476347554475,0.05104735307395458
263,0.04136890405789018,0.06438876837491989
264,0.0391686235088855,0.05002062655985355
265,0.03896151977824047,0.0575786791741848
266,0.05451967264525592,0.05622198544442654
267,0.03934334102086723,0.04888642244040966
268,0.06004293146543205,0.05536995530128479
269,0.042257357155904174,0.05029096268117428
270,0.03623653657268733,0.04928172267973423
271,0.040530734637286514,0.05265215151011944
272,0.03428289288422093,0.053840742260217664
273,0.03280671499669552,0.04850068688392639
274,0.04545089561725035,0.056351397186517715
275,0.035244010912720114,0.04765359573066234
276,0.031840527488384396,0.0472074281424284
277,0.03567637549713254,0.05657543875277042
278,0.04321347514633089,0.06828166954219342
279,0.05782888748217374,0.053151749074459076
280,0.04646597255486995,0.06844370774924755
281,0.05152717710006982,0.05810871198773384
282,0.04075023368932307,0.05969906784594059
283,0.03949699178338051,0.04989062957465649
284,0.03179590863874182,0.04884168542921543
285,0.037017495720647275,0.04777544550597668
286,0.03604334325063974,0.05240767039358616
287,0.03505404345924035,0.049683526158332825
288,0.03589693404501304,0.048831469193100926
289,0.04027618304826319,0.05235576815903187
290,0.0361182609340176,0.05314421467483044
291,0.03507246874505654,0.05475602820515633
292,0.03645403741393238,0.04833466000854969
293,0.03474215290043503,0.05195772983133793
294,0.06112334784120321,0.057907982543110845
295,0.034975415852386504,0.04907305799424648
296,0.039132744597736746,0.051505913585424425
297,0.03758191445376724,0.051992671191692354
298,0.034011731448117644,0.04967477992177009
299,0.03225127956829965,0.04758481867611408
300,0.030710689432453364,0.04560869708657265
301,0.02970196248497814,0.04577038399875164
302,0.030344914994202554,0.04672509618103504
303,0.03333523782202974,0.046750742569565774
304,0.032647813321091235,0.05073605440557003
305,0.03162772738141939,0.04724321737885475
306,0.030220811488106847,0.04831802062690258
307,0.033578471979126334,0.04628156125545502
